,Total,Total Owned Units with a Mortgage,Total Owned Units with a Mortgage (30-49%),Total Owned Units with a Mortgage (50%+),Total Owned Units with a Mortgage (Not Calculated),Total Owned Units without a Mortgage,Total Owned Units without a Mortgage (30-49%),Total Owned Units without a Mortgage (50%+),Total Owned Units without a Mortgage (Not Calculated),Total Rented,Total Rented (30-49%),Total Rented (50%+),Total Rented (Not Calculated)
    Estimate,633,436,115,82,0,170,22,22,0,27,7,0,14
    Margin of Error,±54,±64,±48,±41,±12,±62,±24,±24,±12,±20,±10,±12,±16
Census Tract 7207; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,269",688,105,31,0,40,8,0,0,541,333,159,0
    Margin of Error,±208,±197,±88,±47,±12,±32,±14,±12,±12,±154,±148,±105,±12
Census Tract 7301; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,966,464,200,84,0,352,35,7,0,150,92,80,7
    Margin of Error,±125,±86,±77,±51,±12,±115,±36,±11,±12,±75,±61,±58,±11
Census Tract 7302.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,124",500,277,145,0,478,107,4,0,"1,146",539,291,63
    Margin of Error,±286,±167,±120,±119,±17,±247,±111,±6,±17,±207,±221,±141,±103
Census Tract 7302.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,966,554,214,130,0,208,15,15,0,204,91,38,12
    Margin of Error,±129,±122,±100,±73,±12,±128,±23,±23,±12,±105,±76,±44,±21
Census Tract 7303; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,354,157,87,40,0,113,28,22,8,84,59,20,0
    Margin of Error,±57,±46,±43,±26,±12,±57,±24,±23,±9,±43,±42,±27,±12
Census Tract 7304; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,395",583,150,95,0,430,11,11,0,382,138,138,67
    Margin of Error,±148,±116,±88,±78,±12,±140,±19,±19,±12,±123,±95,±95,±58
Census Tract 7305; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,813",647,150,91,0,918,133,99,78,248,174,66,0
    Margin of Error,±257,±196,±121,±97,±12,±279,±92,±73,±80,±142,±115,±62,±12
Census Tract 7306; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,082",522,195,95,0,280,22,22,0,280,53,43,105
    Margin of Error,±151,±153,±92,±67,±12,±106,±37,±37,±12,±133,±51,±47,±92
Census Tract 7307; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,774,389,150,72,0,256,57,9,2,129,86,55,2
    Margin of Error,±106,±92,±63,±44,±12,±85,±65,±9,±4,±85,±67,±59,±5
Census Tract 7401; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,243",786,114,82,0,279,19,19,13,178,67,54,12
    Margin of Error,±167,±183,±132,±122,±12,±101,±22,±22,±21,±96,±63,±60,±18
Census Tract 7402; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,141","1,083",236,47,0,715,65,55,0,343,91,91,101
    Margin of Error,±209,±144,±100,±55,±17,±161,±65,±63,±17,±161,±52,±52,±99
Census Tract 7403; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,929","1,141",99,11,0,609,44,15,9,179,99,42,0
    Margin of Error,±341,±177,±56,±19,±17,±324,±47,±18,±14,±128,±111,±60,±17
Census Tract 7404; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,899",959,167,87,0,390,78,51,0,550,227,39,10
    Margin of Error,±249,±153,±91,±75,±12,±114,±55,±51,±12,±231,±152,±53,±15
Census Tract 7501; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,559",667,359,234,22,526,41,24,0,366,269,141,21
    Margin of Error,±131,±154,±155,±151,±33,±146,±42,±31,±12,±135,±134,±99,±24
Census Tract 7502; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,466",705,238,123,0,231,48,22,0,530,313,204,0
    Margin of Error,±288,±162,±124,±107,±12,±84,±38,±25,±12,±335,±235,±213,±12
Census Tract 7503; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,988,428,35,10,27,265,28,14,0,295,107,6,43
    Margin of Error,±119,±109,±26,±11,±38,±77,±22,±15,±12,±91,±69,±9,±69
Census Tract 7504; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,281",681,89,80,0,380,77,46,0,220,36,9,35
    Margin of Error,±156,±149,±62,±57,±12,±112,±79,±71,±12,±119,±47,±14,±48
Census Tract 7505; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,980",705,151,96,21,458,139,80,0,817,480,368,58
    Margin of Error,±252,±250,±107,±83,±34,±189,±100,±76,±17,±234,±227,±210,±80
Census Tract 7506; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,234",515,218,83,13,378,59,46,5,341,216,171,0
    Margin of Error,±161,±177,±134,±78,±20,±127,±55,±52,±9,±133,±112,±117,±12
Census Tract 7608.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,342",221,18,0,0,178,60,0,0,"1,943",647,328,20
    Margin of Error,±357,±88,±27,±12,±12,±106,±82,±12,±12,±379,±178,±133,±32
Census Tract 7608.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,169",465,42,42,0,524,156,47,6,180,92,60,31
    Margin of Error,±157,±147,±42,±42,±12,±126,±68,±27,±10,±67,±52,±49,±37
Census Tract 7608.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,986",812,398,216,0,535,118,71,0,"1,639",641,363,56
    Margin of Error,±353,±229,±212,±158,±17,±204,±101,±108,±17,±384,±257,±248,±79
Census Tract 7702.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,801",932,96,26,0,533,75,36,0,"1,336",657,425,55
    Margin of Error,±311,±211,±71,±31,±17,±212,±45,±33,±17,±285,±218,±206,±43
Census Tract 7702.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,942",861,241,130,0,820,96,41,0,261,153,28,108
    Margin of Error,±224,±195,±110,±97,±12,±205,±67,±46,±12,±127,±78,±34,±102
Census Tract 7703; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,791","1,108",338,180,47,845,154,42,14,838,492,145,53
    Margin of Error,±276,±193,±139,±89,±72,±220,±106,±54,±25,±258,±233,±113,±83
Census Tract 7704; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,656",720,148,53,0,297,22,11,0,639,217,100,75
    Margin of Error,±166,±156,±74,±54,±12,±81,±29,±17,±12,±127,±91,±66,±65
Census Tract 7705; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,161",62,13,0,0,786,170,32,0,313,98,45,0
    Margin of Error,±161,±66,±22,±12,±12,±204,±146,±43,±12,±135,±74,±50,±12
Census Tract 7706.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,126",648,135,42,12,330,33,33,5,148,36,36,0
    Margin of Error,±162,±176,±70,±31,±18,±83,±40,±40,±10,±113,±48,±48,±12
Census Tract 7706.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,541",423,127,14,0,364,112,21,12,754,152,112,7
    Margin of Error,±159,±116,±76,±25,±12,±99,±66,±24,±20,±157,±104,±98,±17
Census Tract 7707; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,148",222,77,10,0,111,8,0,6,815,172,105,18
    Margin of Error,±141,±71,±62,±13,±12,±44,±9,±12,±7,±169,±67,±61,±29
Census Tract 7708; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,002",812,346,128,0,593,95,53,0,597,425,218,62
    Margin of Error,±306,±297,±162,±86,±17,±209,±100,±78,±17,±202,±164,±141,±62
Census Tract 7709.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,936",742,208,130,5,812,84,8,0,382,153,102,47
    Margin of Error,±178,±194,±118,±101,±8,±175,±61,±15,±12,±156,±93,±77,±49
Census Tract 7709.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,582",583,242,85,0,485,85,36,16,514,248,144,70
    Margin of Error,±179,±134,±106,±53,±12,±102,±43,±28,±16,±158,±112,±113,±69
Census Tract 8001; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,838,414,175,129,0,410,155,113,0,14,9,9,5
    Margin of Error,±121,±87,±75,±68,±12,±92,±79,±55,±12,±12,±10,±10,±8
Census Tract 8002; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,195","1,307",480,326,0,657,198,131,0,231,75,60,0
    Margin of Error,±152,±204,±198,±206,±17,±170,±106,±89,±17,±104,±69,±61,±17
Census Tract 8003; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,136",687,175,78,0,401,124,89,9,48,20,20,11
    Margin of Error,±152,±152,±61,±44,±12,±114,±76,±71,±14,±39,±19,±19,±18
Census Tract 8004; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,274",805,189,143,0,358,123,55,0,111,44,23,23
    Margin of Error,±126,±123,±76,±70,±12,±86,±54,±41,±12,±43,±37,±27,±19
Census Tract 8005; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,841","1,074",340,147,11,583,86,34,0,184,113,49,11
    Margin of Error,±160,±184,±118,±64,±17,±165,±52,±36,±17,±71,±71,±51,±14
Census Tract 8006; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,743,460,73,39,0,261,50,37,16,22,5,5,0
    Margin of Error,±65,±56,±29,±16,±12,±51,±21,±20,±21,±14,±8,±8,±12
Census Tract 8007; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,705",967,268,107,0,627,141,120,9,111,8,0,0
    Margin of Error,±198,±119,±83,±62,±12,±147,±48,±49,±14,±113,±13,±12,±12
Census Tract 8008; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,051",468,162,130,0,439,119,84,11,144,33,18,46
    Margin of Error,±109,±119,±102,±97,±12,±120,±70,±55,±18,±63,±19,±20,±46
Census Tract 8009; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,726","1,028",360,267,36,573,94,42,0,125,57,41,6
    Margin of Error,±270,±246,±216,±206,±53,±153,±53,±31,±12,±58,±49,±47,±10
Census Tract 8010; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,045","1,076",253,93,0,631,115,27,0,338,141,114,18
    Margin of Error,±258,±243,±109,±71,±12,±139,±54,±32,±12,±124,±77,±71,±22
Census Tract 8011; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,559",918,162,101,0,511,62,22,0,130,39,10,0
    Margin of Error,±135,±115,±76,±56,±12,±151,±40,±24,±12,±52,±26,±16,±12
Census Tract 8012; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,460",633,114,60,0,767,320,132,0,60,9,0,33
    Margin of Error,±151,±119,±59,±44,±12,±147,±131,±80,±12,±48,±13,±12,±45
Census Tract 8013; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,738",934,309,69,0,371,106,66,0,433,168,123,37
    Margin of Error,±184,±170,±164,±41,±12,±125,±87,±81,±12,±102,±82,±78,±46
Census Tract 8014; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,161",682,94,31,0,442,91,27,0,37,20,8,6
    Margin of Error,±88,±110,±52,±27,±12,±138,±81,±45,±12,±30,±24,±13,±10
Census Tract 8015; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,534","1,287",370,124,0,833,199,130,84,414,215,158,21
    Margin of Error,±296,±257,±140,±93,±17,±197,±112,±97,±84,±203,±149,±140,±33
Census Tract 8016.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,922",862,346,127,13,621,96,51,31,439,269,130,19
    Margin of Error,±207,±175,±153,±64,±17,±125,±57,±41,±50,±155,±130,±76,±23
Census Tract 8016.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,423",358,133,49,0,170,27,11,0,895,431,299,24
    Margin of Error,±160,±110,±85,±47,±12,±75,±27,±18,±12,±178,±161,±148,±26
Census Tract 8016.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,120","1,162",381,160,0,903,108,104,0,55,28,0,27
    Margin of Error,±205,±243,±152,±93,±17,±181,±70,±67,±17,±44,±32,±17,±32
Census Tract 8016.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,800","1,122",295,90,0,"1,311",241,104,12,367,151,33,21
    Margin of Error,±327,±162,±118,±66,±17,±291,±123,±79,±21,±140,±77,±40,±33
Census Tract 8016.07; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,032",999,247,145,0,606,186,49,0,427,219,174,33
    Margin of Error,±224,±216,±91,±70,±17,±135,±99,±36,±17,±126,±122,±117,±29
Census Tract 8016.08; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,599","1,048",359,115,0,900,140,104,0,651,372,147,52
    Margin of Error,±220,±151,±122,±72,±17,±207,±81,±74,±17,±165,±141,±92,±50
Census Tract 8017.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,171",720,185,107,0,403,62,19,0,48,7,7,0
    Margin of Error,±123,±116,±90,±81,±12,±98,±33,±16,±12,±31,±13,±13,±12
Census Tract 8017.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,654",908,279,83,0,464,122,54,8,282,84,61,37
    Margin of Error,±189,±175,±175,±53,±12,±102,±64,±49,±12,±125,±51,±49,±36
Census Tract 8018; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,498","1,397",318,268,0,786,146,65,35,315,103,65,80
    Margin of Error,±271,±274,±135,±125,±17,±204,±95,±50,±39,±94,±67,±52,±63
Census Tract 8019.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,005",870,353,139,0,735,203,86,9,400,226,73,95
    Margin of Error,±173,±165,±128,±89,±12,±161,±94,±59,±13,±165,±144,±55,±74
Census Tract 8019.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,227",833,271,41,0,335,70,52,0,59,12,0,9
    Margin of Error,±163,±161,±154,±33,±12,±96,±51,±49,±12,±53,±18,±12,±14
Census Tract 8020.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,635",979,296,138,0,545,105,55,0,111,98,46,0
    Margin of Error,±183,±151,±120,±103,±12,±117,±72,±60,±12,±79,±77,±55,±12
Census Tract 8020.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,825,439,101,70,18,285,55,24,0,101,24,0,0
    Margin of Error,±79,±85,±41,±32,±29,±64,±39,±27,±12,±48,±17,±12,±12
Census Tract 8020.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,324",795,249,124,17,600,174,133,62,929,668,261,19
    Margin of Error,±271,±219,±129,±87,±28,±233,±138,±132,±73,±308,±313,±139,±32
Census Tract 8021; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,258",651,125,68,0,340,29,18,0,267,166,44,9
    Margin of Error,±152,±114,±82,±72,±12,±109,±22,±20,±12,±140,±128,±45,±13
Census Tract 8022; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,989","1,236",312,79,13,401,100,52,0,352,126,109,33
    Margin of Error,±269,±257,±116,±49,±19,±107,±52,±36,±12,±103,±78,±77,±42
Census Tract 8023; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,658",725,202,58,0,706,65,50,14,"1,227",711,569,168
    Margin of Error,±345,±117,±96,±44,±17,±172,±54,±46,±24,±430,±319,±322,±199
Census Tract 8024.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,333",707,202,59,41,762,96,61,0,864,452,153,0
    Margin of Error,±334,±181,±88,±43,±60,±319,±57,±46,±17,±206,±175,±109,±17
Census Tract 8024.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,784,298,138,43,0,301,73,46,4,185,21,8,5
    Margin of Error,±75,±62,±50,±24,±12,±73,±48,±39,±8,±54,±15,±10,±8
Census Tract 8024.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,192","1,330",461,129,44,810,192,75,0,"1,052",464,263,0
    Margin of Error,±397,±335,±255,±119,±68,±265,±95,±55,±17,±211,±167,±139,±17
Census Tract 8025.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,637","1,378",390,233,17,746,59,15,14,513,129,108,48
    Margin of Error,±369,±425,±150,±122,±27,±264,±71,±23,±24,±176,±103,±100,±74
Census Tract 8025.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,079","1,174",360,145,0,652,119,50,0,253,136,136,11
    Margin of Error,±190,±207,±140,±100,±17,±165,±75,±51,±17,±111,±100,±100,±24
Census Tract 8025.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,622",697,229,40,0,174,68,39,0,"1,751",648,273,0
    Margin of Error,±276,±153,±118,±49,±17,±106,±73,±45,±17,±281,±237,±152,±17
Census Tract 8025.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,796,334,90,5,0,199,43,22,0,263,76,36,35
    Margin of Error,±100,±49,±38,±7,±12,±87,±27,±23,±12,±72,±35,±22,±36
Census Tract 8026.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,143","1,173",219,162,0,"1,361",545,117,0,609,287,95,6
    Margin of Error,±401,±316,±113,±104,±17,±327,±281,±78,±17,±152,±133,±83,±18
Census Tract 8026.07; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,433,244,113,34,0,175,26,7,0,14,5,0,0
    Margin of Error,±66,±59,±42,±25,±12,±48,±18,±10,±12,±15,±8,±12,±12
Census Tract 8026.08; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,896","1,529",391,153,16,878,145,69,21,489,152,91,55
    Margin of Error,±217,±198,±135,±109,±25,±182,±93,±63,±33,±202,±113,±92,±53
Census Tract 8026.09; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,725",577,171,81,0,568,118,32,0,"1,580",480,113,112
    Margin of Error,±355,±158,±84,±63,±17,±237,±85,±39,±17,±290,±193,±74,±118
Census Tract 8026.10; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,778,535,99,22,0,201,37,18,10,42,30,0,2
    Margin of Error,±144,±148,±38,±15,±12,±47,±21,±17,±15,±24,±26,±12,±6
Census Tract 8027.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,189","1,000",129,18,0,"1,045",162,102,0,144,39,39,72
    Margin of Error,±243,±218,±103,±29,±17,±243,±104,±85,±17,±100,±44,±44,±79
Census Tract 8027.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,593",715,142,60,0,463,43,17,19,415,238,83,13
    Margin of Error,±127,±112,±64,±53,±12,±114,±28,±20,±20,±110,±92,±60,±19
Census Tract 8028.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,842","1,024",192,71,0,573,92,36,14,245,53,9,31
    Margin of Error,±131,±136,±88,±50,±12,±118,±58,±43,±17,±89,±39,±15,±47
Census Tract 8028.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,305","1,304",267,53,0,660,115,49,0,341,269,85,16
    Margin of Error,±234,±205,±115,±49,±17,±177,±88,±62,±17,±205,±203,±63,±29
Census Tract 8029; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,068","1,342",228,200,11,613,82,51,13,113,55,8,0
    Margin of Error,±204,±185,±108,±102,±18,±183,±75,±62,±22,±82,±54,±15,±17
Census Tract 8030.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,151",643,62,0,0,238,50,0,0,270,51,23,0
    Margin of Error,±240,±230,±41,±12,±12,±98,±58,±12,±12,±86,±37,±26,±12
Census Tract 8030.07; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,116","1,032",348,146,0,773,246,84,0,311,189,156,11
    Margin of Error,±245,±177,±140,±97,±12,±214,±195,±87,±12,±168,±140,±134,±19
Census Tract 8030.08; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,686",701,156,67,0,785,94,55,0,200,49,28,6
    Margin of Error,±168,±118,±58,±38,±12,±146,±57,±38,±12,±76,±42,±36,±9
Census Tract 8030.10; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,734","1,234",252,46,17,420,94,94,0,80,54,16,0
    Margin of Error,±105,±139,±118,±43,±28,±115,±91,±91,±12,±48,±48,±27,±12
Census Tract 8030.12; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,007",388,104,52,0,262,18,18,0,357,116,21,32
    Margin of Error,±118,±109,±55,±39,±12,±95,±19,±19,±12,±79,±54,±22,±42
Census Tract 8030.13; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,394","1,328",447,148,0,797,140,32,15,269,110,21,60
    Margin of Error,±379,±335,±179,±136,±17,±230,±74,±36,±24,±117,±83,±27,±50
Census Tract 8030.14; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,407",502,218,118,0,287,64,0,0,618,277,162,0
    Margin of Error,±193,±109,±71,±66,±12,±115,±72,±12,±12,±200,±176,±150,±12
Census Tract 8030.15; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,014",841,217,54,0,704,87,50,47,469,229,166,21
    Margin of Error,±179,±163,±94,±62,±12,±162,±48,±35,±71,±141,±92,±89,±25
Census Tract 8030.16; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,909,280,27,4,0,134,12,12,5,495,129,40,5
    Margin of Error,±132,±76,±15,±7,±12,±54,±13,±13,±7,±95,±73,±25,±8
Census Tract 8030.17; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,472","1,057",236,146,0,377,78,33,0,"1,038",269,73,88
    Margin of Error,±242,±230,±157,±137,±17,±109,±64,±55,±17,±223,±105,±52,±93
Census Tract 8031; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,155",748,128,69,0,304,30,24,0,103,41,19,0
    Margin of Error,±96,±123,±70,±61,±12,±64,±25,±22,±12,±55,±32,±19,±12
Census Tract 8032; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,069",753,123,24,0,966,313,224,26,350,154,77,48
    Margin of Error,±315,±152,±75,±34,±17,±303,±234,±230,±28,±153,±111,±87,±56
Census Tract 8033; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,878",858,246,84,0,793,199,165,13,"1,227",448,108,34
    Margin of Error,±460,±228,±128,±63,±17,±392,±136,±130,±22,±211,±174,±74,±55
Census Tract 8034; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,276","1,472",397,116,16,368,76,65,15,436,239,50,0
    Margin of Error,±175,±193,±149,±103,±25,±112,±49,±46,±23,±213,±174,±82,±17
Census Tract 8035; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,121","1,150",154,37,0,719,96,69,0,252,165,137,0
    Margin of Error,±179,±170,±89,±35,±17,±178,±68,±62,±17,±97,±81,±77,±17
Census Tract 8036.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,267","1,355",410,181,0,721,87,54,0,191,101,0,44
    Margin of Error,±150,±199,±147,±124,±17,±166,±66,±50,±17,±145,±139,±17,±47
Census Tract 8036.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,806",797,239,64,9,497,71,21,12,512,243,163,17
    Margin of Error,±160,±111,±92,±48,±14,±140,±38,±22,±19,±113,±106,±88,±19
Census Tract 8036.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,510","1,378",513,319,0,699,66,52,0,433,215,63,0
    Margin of Error,±291,±255,±246,±211,±17,±184,±82,±80,±17,±142,±113,±51,±17
Census Tract 8036.07; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,639","1,028",262,120,0,502,90,58,0,109,20,0,0
    Margin of Error,±176,±128,±89,±65,±12,±117,±61,±52,±12,±131,±26,±12,±12
Census Tract 8036.08; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,298","1,074",296,205,0,583,88,51,0,"1,641",814,327,0
    Margin of Error,±444,±237,±133,±119,±17,±158,±69,±50,±17,±492,±238,±173,±17
Census Tract 8036.11; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,159",906,254,100,0,331,46,14,0,922,490,355,0
    Margin of Error,±269,±219,±149,±81,±17,±127,±42,±23,±17,±277,±269,±249,±17
Census Tract 8036.12; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,410",154,38,9,0,153,30,10,9,"1,103",398,260,37
    Margin of Error,±175,±57,±31,±15,±12,±68,±31,±16,±15,±163,±142,±152,±40
Census Tract 8036.13; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,128",462,192,124,0,154,0,0,8,512,213,66,11
    Margin of Error,±178,±193,±125,±86,±12,±96,±12,±12,±22,±131,±121,±40,±19
Census Tract 8036.14; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,596",206,24,0,0,146,68,55,0,"1,244",583,238,0
    Margin of Error,±90,±107,±37,±12,±12,±64,±47,±42,±12,±139,±185,±113,±12
Census Tract 8036.15; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,071",439,75,41,0,186,0,0,0,446,134,73,56
    Margin of Error,±126,±134,±54,±48,±12,±100,±12,±12,±12,±98,±67,±46,±67
Census Tract 8036.16; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,128",781,217,42,0,637,114,0,0,710,276,150,67
    Margin of Error,±334,±136,±108,±39,±17,±337,±146,±17,±17,±168,±137,±115,±75
Census Tract 8037.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,363",599,174,56,7,245,45,10,0,519,227,71,23
    Margin of Error,±135,±86,±73,±59,±12,±70,±32,±16,±12,±153,±109,±47,±28
Census Tract 8037.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,447","1,045",267,135,0,583,137,23,0,819,243,131,0
    Margin of Error,±279,±156,±109,±89,±17,±162,±107,±27,±17,±230,±116,±85,±17
Census Tract 8038; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,688",951,241,66,0,463,45,12,9,274,40,16,18
    Margin of Error,±158,±98,±83,±43,±12,±104,±39,±14,±14,±137,±28,±17,±29
Census Tract 8039.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,997",637,167,22,0,680,141,38,0,680,305,174,48
    Margin of Error,±217,±125,±77,±24,±12,±184,±82,±30,±12,±201,±135,±109,±57
Census Tract 8039.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,229",830,251,67,0,245,22,6,0,154,42,11,9
    Margin of Error,±164,±140,±99,±52,±12,±78,±21,±9,±12,±105,±33,±18,±15
Census Tract 8040; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,946","1,081",391,150,8,644,78,29,14,221,91,66,37
    Margin of Error,±193,±218,±197,±116,±13,±149,±50,±27,±16,±89,±58,±52,±45
Census Tract 8041.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,370","1,356",269,98,0,878,180,99,0,136,49,18,16
    Margin of Error,±222,±206,±114,±73,±17,±202,±140,±65,±17,±86,±49,±31,±25
Census Tract 8041.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,878",994,156,63,0,602,39,11,0,282,133,48,13
    Margin of Error,±204,±180,±67,±37,±17,±182,±27,±19,±17,±93,±79,±37,±21
Census Tract 8041.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,579","1,071",229,89,0,483,38,10,0,25,0,0,25
    Margin of Error,±215,±193,±92,±60,±12,±163,±34,±16,±12,±23,±12,±12,±23
Census Tract 8041.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,642","1,364",408,113,0,874,35,35,0,404,245,123,19
    Margin of Error,±280,±251,±181,±85,±17,±240,±40,±40,±17,±142,±159,±140,±33
Census Tract 8041.08; Cook County; Illinois,,,,,,,,,,,,,
