,Total,Total Owned Units with a Mortgage,Total Owned Units with a Mortgage (30-49%),Total Owned Units with a Mortgage (50%+),Total Owned Units with a Mortgage (Not Calculated),Total Owned Units without a Mortgage,Total Owned Units without a Mortgage (30-49%),Total Owned Units without a Mortgage (50%+),Total Owned Units without a Mortgage (Not Calculated),Total Rented,Total Rented (30-49%),Total Rented (50%+),Total Rented (Not Calculated)
Census Tract 409; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,136",254,25,9,0,139,32,0,0,743,348,63,16
    Margin of Error,±178,±87,±26,±16,±12,±60,±36,±12,±12,±201,±180,±52,±17
Census Tract 501; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,156",358,116,43,0,82,24,15,0,716,190,50,8
    Margin of Error,±141,±105,±65,±33,±12,±49,±27,±18,±12,±133,±93,±44,±13
Census Tract 502; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,126",868,223,33,0,359,64,64,0,899,258,131,69
    Margin of Error,±221,±189,±107,±38,±17,±153,±55,±55,±17,±169,±102,±76,±82
Census Tract 503; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,091",450,45,21,0,238,40,20,0,403,83,35,56
    Margin of Error,±138,±115,±36,±26,±12,±93,±35,±29,±12,±104,±62,±33,±60
Census Tract 505; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,993",874,200,81,0,278,49,13,0,841,269,46,64
    Margin of Error,±272,±180,±103,±62,±17,±81,±43,±22,±17,±218,±166,±44,±80
Census Tract 506; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,191",481,129,13,0,124,33,33,0,586,127,32,83
    Margin of Error,±154,±113,±64,±16,±12,±57,±38,±38,±12,±166,±68,±29,±84
Census Tract 507; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,691,262,67,41,0,94,22,22,0,335,53,26,11
    Margin of Error,±152,±48,±36,±35,±12,±40,±20,±20,±12,±155,±33,±26,±17
Census Tract 508; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,488,202,60,40,0,40,8,2,0,246,85,22,9
    Margin of Error,±71,±56,±31,±26,±12,±23,±11,±4,±12,±54,±37,±21,±13
Census Tract 509; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,662,193,32,12,0,55,7,7,0,414,101,47,7
    Margin of Error,±85,±46,±21,±12,±12,±25,±11,±11,±12,±79,±67,±51,±11
Census Tract 510; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,695,387,49,12,19,90,9,0,0,218,35,7,0
    Margin of Error,±77,±67,±32,±18,±30,±37,±11,±12,±12,±52,±24,±11,±12
Census Tract 511; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,737,326,61,35,4,76,10,10,0,335,92,73,0
    Margin of Error,±168,±74,±37,±24,±7,±40,±15,±15,±12,±168,±53,±54,±12
Census Tract 512; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,645,256,5,5,4,44,15,0,0,345,86,62,0
    Margin of Error,±95,±74,±8,±8,±6,±27,±22,±12,±12,±79,±57,±53,±12
Census Tract 513; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,105",715,141,56,28,121,12,9,0,269,102,63,0
    Margin of Error,±106,±115,±91,±32,±44,±59,±21,±16,±12,±81,±63,±59,±12
Census Tract 514; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,062",530,79,20,9,93,24,24,0,439,167,88,52
    Margin of Error,±105,±105,±36,±20,±11,±38,±22,±22,±12,±78,±90,±71,±39
Census Tract 601; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,283",662,141,88,0,166,39,21,8,455,199,68,0
    Margin of Error,±130,±104,±74,±67,±12,±96,±29,±23,±14,±119,±104,±48,±12
