GEOID,Total,Total Owned Units with a Mortgage,Total Owned Units with a Mortgage (30-49%),Total Owned Units with a Mortgage (50%+),Total Owned Units with a Mortgage (Not Calculated),Total Owned Units without a Mortgage,Total Owned Units without a Mortgage (30-49%),Total Owned Units without a Mortgage (50%+),Total Owned Units without a Mortgage (Not Calculated),Total Rented,Total Rented (30-49%),Total Rented (50%+),Total Rented (Not Calculated)
62001,661,317,103,58,0,224,17,1,0,120,31,19,32
62002,13023,4919,1239,437,55,3334,553,372,31,4770,2174,1034,431
62006,147,61,3,1,0,83,2,2,0,3,1,0,0
62009,737,254,33,19,30,258,22,9,0,225,98,45,13
62010,4712,2455,314,146,0,1333,114,21,12,924,425,162,29
62011,114,18,13,13,0,96,5,0,0,0,0,0,0
62012,2287,1183,162,45,0,885,78,37,0,219,83,78,49
62013,140,50,16,5,0,60,6,1,0,30,0,0,6
62014,1319,714,139,70,5,405,37,37,0,200,42,7,33
62015,237,113,8,8,0,82,39,37,2,42,1,0,30
62016,1503,485,108,13,0,552,76,15,0,466,115,76,139
62017,479,168,27,4,2,244,27,25,14,67,24,10,4
62018,1183,357,57,16,6,462,109,36,0,364,226,87,23
62019,143,34,3,0,0,76,25,24,9,33,2,2,24
62021,410,260,23,7,0,145,17,0,0,5,5,5,0
62022,369,126,39,11,0,152,10,10,0,91,0,0,10
62023,44,25,4,2,0,19,3,0,0,0,0,0,0
62024,4219,1991,245,73,44,1234,143,111,188,994,408,170,82
62025,13435,6750,1008,326,0,3302,406,315,11,3383,1464,969,211
62026,0,0,0,0,0,0,0,0,0,0,0,0,0
62027,228,76,16,5,0,104,0,0,0,48,8,3,30
62028,288,91,24,17,0,56,10,5,0,141,48,14,54
62030,25,9,0,0,0,10,4,0,0,6,6,3,0
62031,242,121,18,8,0,106,15,2,0,15,0,0,5
62032,323,85,4,0,0,170,2,0,0,68,36,36,10
62033,1767,701,74,3,0,557,83,62,10,509,80,35,92
62034,6065,2700,408,152,0,1354,117,24,8,2011,736,122,145
62035,6627,3074,410,124,0,2547,292,154,23,1006,416,208,126
62036,201,91,15,8,0,97,1,0,0,13,0,0,9
62037,734,292,71,40,0,303,31,15,3,139,20,8,80
62040,16895,6931,1291,505,75,5598,1014,458,127,4366,1738,1017,468
62044,680,270,18,9,0,248,19,3,0,162,58,22,21
62045,141,50,6,0,0,87,9,0,0,4,0,0,4
62046,359,172,9,5,0,111,8,0,0,76,16,13,0
62047,437,132,12,4,0,247,13,9,0,58,17,0,10
62048,680,217,52,8,0,346,36,3,2,117,73,54,6
62049,2664,1038,185,107,0,956,152,147,0,670,236,68,98
62050,115,47,0,0,0,57,4,4,0,11,2,0,6
62051,301,99,62,24,0,144,23,5,6,58,18,10,27
62052,4880,2044,397,93,26,1530,79,22,19,1306,444,237,84
62053,94,36,7,0,0,39,5,1,0,19,4,4,3
62054,133,42,5,3,0,68,1,1,0,23,7,3,7
62056,3738,1490,139,63,49,1225,168,47,16,1023,513,214,95
62058,352,147,23,3,0,116,15,2,0,89,43,10,6
62059,275,38,21,21,0,90,10,0,0,147,82,71,6
62060,1618,277,113,67,11,473,88,22,14,868,453,287,70
62061,567,259,52,6,0,228,32,32,0,80,20,5,0
62062,3564,2227,290,164,13,837,83,0,0,500,142,26,0
62063,344,73,20,2,0,231,114,78,0,40,15,15,16
62067,822,447,117,79,0,287,38,16,5,88,36,23,17
62069,1391,503,67,33,0,608,93,53,9,280,92,30,107
62074,467,268,68,5,0,164,12,3,0,35,12,3,12
62075,1280,435,94,26,2,582,39,23,17,263,81,29,55
62076,53,14,2,2,0,39,10,10,0,0,0,0,0
62077,149,50,0,0,0,78,6,2,5,21,2,2,1
62078,26,7,1,1,0,16,0,0,5,3,0,0,3
62079,102,81,0,0,0,0,0,0,0,21,0,0,0
62080,1019,357,33,16,0,515,66,22,0,147,60,5,75
62081,92,37,1,0,3,53,0,0,0,2,1,1,0
62082,984,365,60,34,0,516,45,29,32,103,49,31,4
62083,104,34,24,8,0,70,60,0,0,0,0,0,0
62084,727,348,55,36,0,191,8,3,0,188,74,23,19
62085,88,50,12,2,0,35,0,0,2,3,0,0,0
62086,497,223,29,5,0,237,34,8,7,37,3,0,20
62087,826,258,42,22,0,317,54,43,0,251,102,36,41
62088,2802,1166,327,49,25,1130,91,26,31,506,217,157,27
62089,275,100,14,2,0,119,5,0,2,56,11,0,11
62090,442,36,3,0,4,139,10,3,0,267,124,54,31
62091,113,47,15,15,0,65,8,1,0,1,1,1,0
62092,917,267,73,24,0,422,67,30,5,228,25,12,84
62093,179,72,14,11,2,50,0,0,0,57,45,33,0
62094,420,106,31,12,0,214,15,5,2,100,14,2,11
62095,4669,2127,279,123,3,1131,156,72,0,1411,619,344,49
62097,1068,667,149,14,0,285,53,40,0,116,72,65,6
62098,14,0,0,0,0,14,0,0,0,0,0,0,0
62201,2297,223,66,16,0,738,182,0,0,1336,459,260,179
62203,1875,348,184,79,0,988,149,123,19,539,246,214,88
62204,1978,523,273,214,0,840,200,49,91,615,322,139,98
62205,2282,334,167,37,11,1147,231,25,0,801,430,304,70
62206,4858,1382,448,244,0,1418,237,3,0,2058,1111,709,199
62207,2649,252,105,15,0,855,151,37,7,1542,608,235,90
62208,7271,2851,673,290,0,1821,200,132,0,2599,814,534,104
62214,440,246,27,2,0,157,8,0,6,37,2,2,24
62215,794,471,60,11,0,181,4,3,0,142,34,14,13
62216,1053,608,84,30,0,266,45,26,0,179,42,9,13
62217,282,100,12,2,0,146,7,1,0,36,25,16,6
62218,770,394,65,11,0,323,64,54,7,53,5,3,18
62219,444,198,55,20,12,133,14,7,0,113,15,1,7
62220,7881,3017,506,201,0,2205,277,132,48,2659,1255,821,185
62221,11896,5384,1029,435,186,2519,311,127,0,3993,1332,493,241
62223,7174,3534,827,353,10,1942,257,221,58,1698,987,565,157
62225,1555,0,0,0,0,29,0,0,0,1526,352,58,156
62226,11743,4610,1078,410,0,3089,303,101,51,4044,1499,746,233
62230,2703,1392,186,75,0,805,120,26,0,506,164,106,37
62231,2737,1201,167,64,0,1058,90,56,0,478,158,32,65
62232,2818,1486,233,81,0,637,110,60,0,695,203,90,13
62233,2544,949,78,36,7,1018,42,22,16,577,130,69,72
62234,14028,5766,1173,498,11,4052,491,334,75,4210,1861,870,252
62236,5505,2967,386,87,8,1712,177,75,22,826,394,173,48
62237,1051,426,110,69,0,555,85,83,5,70,26,2,11
62238,206,74,13,6,0,90,10,6,0,42,13,4,21
62239,1761,485,58,14,0,585,79,0,0,691,275,103,7
62240,601,253,32,24,0,223,49,43,1,125,1,1,60
62241,366,88,9,2,0,249,7,2,0,29,7,0,1
62242,766,270,43,17,5,369,25,11,0,127,29,10,37
62243,2401,1236,251,100,0,784,306,76,0,381,215,94,53
62244,430,225,12,0,0,122,21,6,0,83,36,9,14
62245,733,299,36,19,2,352,16,3,5,82,17,7,2
62246,3621,1351,264,61,0,1094,54,23,3,1176,418,286,213
62248,227,116,8,3,0,53,1,0,0,58,2,0,1
62249,7052,3640,560,170,0,2027,282,137,28,1385,460,162,40
62250,207,71,1,1,0,118,5,4,2,18,5,1,7
62253,328,139,22,17,0,122,18,5,0,67,19,7,7
62254,2374,1018,171,32,0,622,53,32,0,734,210,39,25
62255,487,126,26,2,0,292,56,54,1,69,30,19,8
62256,12,5,1,0,0,4,0,0,0,3,0,0,0
62257,870,357,49,17,0,305,59,13,6,208,80,17,54
62258,3617,1662,335,102,0,883,141,70,0,1072,451,154,83
62260,2800,1542,337,111,15,864,83,18,0,394,153,93,14
62261,31,0,0,0,0,31,0,0,0,0,0,0,0
62262,771,297,54,30,4,353,19,19,40,121,28,14,13
62263,2103,873,209,52,0,746,56,22,0,484,106,35,18
62264,1303,610,120,67,0,402,77,21,0,291,204,30,38
62265,1773,631,173,53,0,511,46,20,0,631,320,176,0
62266,29,0,0,0,0,29,0,0,0,0,0,0,0
62268,392,144,29,10,0,190,12,3,0,58,28,0,14
62269,13872,7478,1372,466,11,2519,227,115,0,3875,1580,951,181
62271,754,270,49,25,0,341,36,8,0,143,41,17,27
62272,695,185,37,10,0,270,13,13,0,240,37,24,63
62273,129,44,7,1,0,44,5,2,2,41,16,10,18
62274,2745,1261,150,54,0,1030,107,87,0,454,217,70,135
62275,1071,530,128,48,1,334,37,10,5,207,20,11,53
62277,378,175,40,8,0,139,0,0,2,64,12,10,4
62278,2591,1141,118,43,0,954,74,34,0,496,157,79,10
62279,26,21,0,0,0,5,0,0,0,0,0,0,0
62280,171,75,13,13,0,52,0,0,0,44,0,0,1
62281,1066,719,131,13,0,249,29,25,0,98,65,24,3
62282,272,136,6,2,0,95,8,5,0,41,14,14,0
62284,263,93,7,1,0,138,36,5,21,32,0,0,18
62285,1665,996,123,50,0,501,73,55,0,168,168,83,0
62286,2321,887,175,36,11,706,61,39,0,728,403,96,25
62288,1160,401,29,15,4,504,34,34,0,255,67,52,54
62289,185,76,10,7,0,75,22,2,0,34,20,14,3
62292,318,70,20,4,0,125,20,5,4,123,49,22,26
62293,1853,829,112,48,0,687,33,0,30,337,120,73,42
62294,5736,3007,519,130,0,1323,81,31,8,1406,430,175,36
62295,515,280,49,17,2,124,9,0,0,111,31,10,7
62297,155,29,6,0,0,100,0,0,0,26,20,0,0
62298,7124,3535,627,234,0,2468,276,65,20,1121,463,144,35
62301,13855,5145,969,404,14,3212,379,263,92,5498,2191,1157,365
62305,7933,3272,339,87,39,3404,233,128,71,1257,421,155,107
62311,403,155,11,5,8,167,11,7,9,81,24,24,14
62312,634,226,49,23,0,240,14,9,5,168,60,31,43
62313,158,57,1,0,0,80,7,0,0,21,0,0,6
62314,213,55,6,1,0,99,8,5,0,59,1,1,4
62316,309,145,15,2,0,108,6,4,2,56,11,1,1
62319,90,12,0,0,0,74,17,12,0,4,0,0,4
62320,885,395,83,62,0,308,6,3,6,182,45,20,10
62321,1597,644,61,61,0,577,30,16,11,376,78,24,34
62323,111,58,12,0,0,40,5,5,0,13,5,5,5
62324,511,197,11,4,4,204,13,5,0,110,9,9,8
62325,210,104,3,3,0,69,19,16,0,37,0,0,4
62326,965,422,103,10,0,342,70,26,9,201,69,40,37
62330,715,251,46,33,0,359,48,12,18,105,25,4,28
62334,87,23,6,6,0,48,8,8,6,16,6,5,1
62336,47,19,2,0,0,25,3,0,0,3,0,0,0
62338,475,307,38,26,0,147,10,0,0,21,0,0,0
62339,438,145,42,18,0,207,19,17,0,86,25,18,21
62340,700,180,70,66,0,275,11,11,14,245,81,74,81
62341,1450,469,43,24,0,644,71,15,0,337,178,56,0
62343,318,103,20,2,0,162,13,2,11,53,7,0,16
62344,30,0,0,0,0,22,0,0,0,8,0,0,8
62345,119,30,5,5,0,62,1,0,0,27,12,12,8
62346,64,29,0,0,0,32,0,0,2,3,0,0,3
62347,782,367,60,1,0,348,11,9,0,67,24,24,20
62348,79,22,2,0,0,40,5,5,0,17,0,0,1
62349,299,110,3,0,0,131,2,1,0,58,5,5,14
62351,767,435,43,7,0,241,32,15,4,91,36,19,8
62352,75,44,2,0,0,18,2,0,0,13,6,0,5
62353,1415,495,116,66,0,452,16,0,0,468,158,17,20
62354,532,177,58,26,0,279,27,16,0,76,40,20,15
62355,255,112,46,27,0,121,14,12,4,22,1,1,9
62356,194,75,21,2,0,75,15,5,1,44,20,7,8
62357,71,13,1,0,0,22,2,2,0,36,26,12,10
62358,189,68,4,0,0,111,34,34,0,10,0,0,0
62359,24,16,0,0,0,8,0,0,0,0,0,0,0
62360,665,220,22,17,0,373,14,2,2,72,15,5,22
62361,120,54,14,14,0,57,2,2,0,9,1,1,8
62362,148,40,10,8,0,78,18,13,1,30,4,1,12
62363,2393,1025,183,51,0,916,128,46,10,452,147,109,22
62365,195,67,15,0,0,119,18,16,0,9,5,2,2
62366,456,233,59,26,2,140,4,4,0,83,26,12,24
62367,630,287,12,8,0,247,32,12,5,96,24,2,54
62370,118,45,6,0,0,58,19,0,0,15,0,0,8
62373,107,23,12,7,0,80,0,0,0,4,0,0,4
62374,133,72,5,1,0,38,2,2,0,23,0,0,0
62375,232,94,3,2,0,129,23,0,2,9,4,4,4
62376,524,225,39,12,0,217,70,62,0,82,43,20,6
62378,366,213,40,34,0,97,10,8,3,56,3,0,12
62379,816,263,36,18,0,403,38,25,0,150,38,33,25
62380,165,28,0,0,1,111,6,4,0,26,0,0,15
62401,7943,3294,552,143,7,2647,263,110,0,2002,512,173,114
62410,449,178,19,9,3,250,19,10,0,21,7,6,10
62411,1753,732,138,80,0,720,119,70,0,301,101,55,19
62413,172,77,9,0,0,95,17,6,0,0,0,0,0
62414,684,226,74,21,0,268,70,11,0,190,41,14,53
62417,979,418,85,24,0,332,19,4,23,229,66,23,17
62418,705,212,65,7,0,349,36,23,0,144,48,19,24
62419,111,33,1,0,0,65,0,0,0,13,0,0,7
62420,1884,910,153,104,0,664,154,67,0,310,134,68,5
62421,191,40,4,1,0,132,6,5,0,19,3,3,2
62422,406,103,27,11,0,192,18,10,5,111,42,20,35
62423,248,141,22,22,0,83,0,0,45,24,15,0,0
62424,848,415,91,26,0,273,19,10,6,160,59,14,22
62425,264,104,9,0,0,160,19,5,0,0,0,0,0
62426,400,182,50,6,0,155,16,4,0,63,14,12,11
62427,734,252,41,23,0,432,49,3,9,50,0,0,19
62428,1175,488,57,12,2,525,48,21,0,162,34,18,45
62431,332,118,20,4,0,187,25,8,0,27,0,0,17
62432,232,146,8,0,0,81,17,5,7,5,0,0,0
62433,468,243,8,6,2,116,9,9,0,109,31,30,38
62434,153,20,0,0,0,123,58,58,9,10,0,0,10
62436,311,87,15,6,0,209,51,41,11,15,6,0,0
62438,97,0,0,0,0,86,0,0,0,11,0,0,11
62439,2962,813,140,64,0,1211,117,52,15,938,294,40,108
62440,498,257,50,12,0,215,90,15,7,26,4,2,0
62441,2999,1293,226,76,0,1092,49,27,38,614,262,78,24
62442,1086,445,55,11,3,440,29,2,0,201,96,57,19
62443,684,308,25,15,0,323,115,36,1,53,14,11,21
62444,196,50,7,4,0,146,28,25,0,0,0,0,0
62445,391,148,25,14,0,217,30,17,0,26,5,5,0
62446,124,36,1,1,0,80,17,8,0,8,5,0,0
62447,1249,493,46,3,34,553,49,49,0,203,82,43,3
62448,2311,750,119,64,0,1075,124,81,0,486,129,53,84
62449,1289,451,130,53,3,530,102,74,10,308,62,14,80
62450,5061,1655,209,60,2,1847,151,63,4,1559,457,203,373
62451,837,336,61,26,2,351,26,10,24,150,33,21,21
62452,142,67,9,9,0,69,4,0,0,6,0,0,3
62454,3943,1828,237,144,19,1317,158,73,0,798,189,84,107
62458,826,302,66,16,5,408,129,43,6,116,23,11,39
62459,93,46,7,2,0,38,2,2,2,9,1,0,2
62460,364,111,40,39,0,183,22,5,4,70,17,15,23
62461,296,108,20,0,0,162,0,0,0,26,16,0,3
62462,403,168,17,5,0,188,6,5,2,47,2,0,1
62463,486,167,35,0,0,248,14,4,2,71,20,15,5
62464,85,21,0,0,0,19,0,0,0,45,0,0,0
62465,331,136,35,8,0,162,40,5,0,33,2,0,8
62466,1094,408,34,16,22,580,58,53,0,106,23,9,36
62467,1491,579,47,26,0,658,75,11,0,254,87,8,15
62468,947,329,50,7,0,417,57,17,0,201,36,26,61
62469,116,35,0,0,0,29,10,10,0,52,0,0,10
62471,3636,1296,222,60,0,1416,138,36,157,924,295,160,170
62473,482,165,40,31,8,221,27,20,2,96,10,8,17
62474,314,85,10,0,0,212,10,2,3,17,2,0,8
62475,85,47,0,0,0,38,0,0,0,0,0,0,0
62476,563,207,18,3,6,289,29,15,9,67,6,0,26
62477,313,64,0,0,0,190,56,0,0,59,59,45,0
62478,120,80,14,6,0,24,0,0,0,16,16,0,0
62479,310,108,45,27,0,120,15,2,3,82,0,0,32
62480,261,90,16,7,0,137,9,2,0,34,2,1,32
62481,128,44,2,0,1,60,0,0,5,24,0,0,24
62501,934,368,49,5,0,506,43,24,0,60,0,0,5
62510,746,219,19,1,0,204,21,13,0,323,30,27,128
62512,193,79,17,0,0,64,17,4,0,50,25,0,0
62513,619,322,29,10,5,209,16,7,0,88,22,0,29
62514,163,48,0,0,0,61,0,0,0,54,0,0,0
62515,429,163,31,14,0,169,47,3,0,97,24,11,30
62517,76,44,3,0,0,8,3,0,0,24,13,0,4
62518,140,72,44,0,0,60,0,0,22,8,0,0,8
62519,26,26,0,0,0,0,0,0,0,0,0,0,0
62520,594,280,39,26,7,260,18,16,0,54,12,10,3
62521,14003,5293,1116,457,22,5098,452,185,37,3612,1239,611,546
62522,6002,1915,433,217,25,1995,211,142,2,2092,908,381,405
62523,288,28,0,0,0,0,0,0,0,260,78,10,0
62526,14183,4259,1025,284,16,4019,239,121,168,5905,1822,1034,884
62530,642,298,55,34,3,223,20,11,0,121,33,12,50
62531,697,307,18,14,0,237,25,3,0,153,53,24,9
62532,23,15,7,0,0,8,0,0,0,0,0,0,0
62533,402,183,16,4,6,134,5,3,7,85,33,20,4
62534,465,166,48,25,0,217,22,7,0,82,14,3,15
62535,1346,705,153,90,0,538,13,13,10,103,43,0,0
62536,376,174,38,38,0,178,0,0,0,24,0,0,0
62537,102,67,0,0,0,24,3,0,0,11,0,0,0
62538,165,64,11,11,0,69,0,0,0,32,2,2,6
62539,535,201,31,10,0,263,7,1,0,71,8,8,22
62540,619,224,22,19,0,263,37,18,0,132,21,18,68
62541,25,25,0,0,0,0,0,0,0,0,0,0,0
62543,193,73,12,11,0,82,9,4,5,38,2,0,1
62544,684,331,45,12,0,265,16,10,0,88,34,22,10
62545,572,302,30,15,5,232,32,23,3,38,20,15,0
62546,586,252,51,15,8,269,21,3,4,65,12,4,17
62547,264,138,43,0,9,109,19,3,3,17,1,0,0
62548,906,449,79,23,0,333,36,23,31,124,21,3,32
62549,2419,1404,106,60,0,671,52,14,0,344,47,0,15
62550,1154,525,77,27,0,355,40,10,4,274,53,46,44
62551,324,151,12,4,0,118,3,1,0,55,14,14,0
62553,137,68,4,0,0,59,0,0,1,10,4,2,2
62554,660,400,90,15,0,202,5,2,0,58,21,5,0
62555,537,248,32,3,7,197,15,15,0,92,0,0,0
62556,143,70,43,15,0,59,9,4,0,14,3,3,1
62557,2827,953,293,155,12,1111,137,74,24,763,234,17,150
62558,1483,707,174,48,0,517,151,53,4,259,58,11,42
62560,577,238,49,18,0,185,28,24,2,154,43,16,21
62561,2208,915,291,195,0,649,29,29,0,644,280,46,0
62563,2053,1222,235,68,0,758,87,59,6,73,23,11,17
62565,3272,1089,254,158,0,1189,55,19,18,994,326,161,17
62567,379,129,24,7,8,175,21,11,7,75,25,12,3
62568,6233,2544,459,167,80,1878,228,119,60,1811,751,487,157
62570,242,175,17,12,0,44,7,0,0,23,4,4,2
62571,576,92,34,4,0,355,48,15,0,129,40,34,25
62572,186,73,6,5,0,76,15,13,0,37,2,2,23
62573,454,168,14,7,10,169,10,6,2,117,39,13,16
62601,134,81,23,10,0,48,15,0,0,5,0,0,5
62610,68,23,8,7,0,34,4,0,0,11,0,0,5
62611,462,208,47,12,0,218,31,30,2,36,1,0,21
62612,670,311,57,12,18,245,28,13,0,114,3,3,74
62613,1504,751,61,17,0,484,32,27,18,269,126,44,15
62615,1889,1080,143,0,0,499,52,35,0,310,149,115,20
62617,285,102,20,11,0,157,17,8,1,26,2,2,16
62618,2709,953,189,47,20,910,126,80,1,846,158,44,40
62621,465,165,10,9,0,211,25,2,0,89,26,5,7
62622,28,20,0,0,0,8,0,0,0,0,0,0,0
62624,139,64,39,16,0,63,1,0,0,12,11,0,0
62625,349,159,22,0,0,128,1,0,0,62,25,0,15
62626,3057,1075,148,28,0,1048,146,61,0,934,372,275,65
62627,431,164,41,0,0,197,26,24,0,70,32,15,16
62628,338,141,16,10,0,155,4,2,0,42,7,0,8
62629,5924,3356,356,42,71,1428,180,38,30,1140,304,56,115
62630,298,92,4,2,0,202,21,13,1,4,0,0,2
62631,110,51,13,7,0,57,4,3,0,2,2,0,0
62633,284,132,66,9,1,116,0,0,0,36,13,7,10
62634,474,252,24,7,0,118,2,1,0,104,24,3,13
62635,272,81,6,2,0,120,12,5,0,71,20,14,3
62638,496,179,39,5,0,206,10,2,0,111,13,0,12
62639,122,29,0,0,0,52,0,0,0,41,37,0,0
62640,1197,493,92,55,0,353,21,10,9,351,109,56,48
62642,585,222,19,13,0,264,27,0,5,99,31,20,26
62643,297,86,1,0,0,89,2,0,9,122,29,12,45
62644,2048,554,129,51,0,1032,161,41,28,462,114,108,64
62649,165,39,13,5,0,94,4,0,0,32,4,0,1
62650,9802,3915,777,376,0,2689,321,121,15,3198,1026,364,137
62655,230,81,22,18,0,109,20,1,0,40,10,10,5
62656,7114,2597,345,98,24,1888,233,143,0,2629,1075,607,214
62661,521,218,54,2,0,221,47,21,0,82,38,3,8
62663,81,37,7,0,0,40,1,0,1,4,2,0,0
62664,1283,486,70,54,0,562,68,18,0,235,108,43,60
62665,558,169,43,15,0,249,28,22,0,140,54,25,16
62666,203,83,17,11,0,65,7,4,0,55,20,14,12
62667,235,51,4,0,0,149,13,0,0,35,2,0,6
62668,485,239,69,33,9,195,46,7,3,51,12,4,0
62670,1078,509,83,43,2,304,40,28,0,265,105,36,36
62671,195,66,3,3,0,91,5,1,0,38,4,4,12
62672,59,13,5,3,0,43,5,3,0,3,0,0,0
62673,226,117,46,20,0,79,3,2,0,30,9,1,5
62674,503,155,20,9,13,243,31,1,2,105,26,14,44
62675,2585,1136,185,52,0,823,45,45,27,626,292,70,93
62677,826,393,29,9,0,343,42,1,2,90,28,5,5
62681,2137,807,144,10,0,864,98,55,14,466,74,24,10
62682,282,150,24,11,0,86,13,11,0,46,19,16,1
62684,1952,1201,121,62,8,599,34,11,0,152,30,8,0
62685,597,221,55,22,6,295,19,15,11,81,7,5,10
62688,342,183,36,4,0,124,13,8,0,35,0,0,20
62689,261,125,18,9,0,116,4,4,0,20,4,2,0
62690,1489,529,48,6,0,582,15,10,0,378,85,37,127
62691,1059,374,69,31,0,397,28,17,0,288,69,49,18
62692,875,447,170,36,0,298,10,10,5,130,28,6,35
62693,775,441,88,50,0,245,17,6,0,89,7,7,2
62694,1271,413,51,27,0,545,113,17,0,313,53,24,40
62695,210,105,11,1,0,92,2,0,0,13,6,1,2
62701,624,0,0,0,0,12,0,0,0,612,173,93,24
62702,14487,4943,965,448,64,4382,461,117,90,5162,2314,1132,471
62703,12368,3530,741,323,22,3379,363,156,138,5459,2563,1583,675
62704,18720,7133,1526,708,5,4424,454,205,67,7163,2668,1591,314
62706,0,0,0,0,0,0,0,0,0,0,0,0,0
62707,3496,1731,316,170,28,1306,38,25,0,459,138,56,58
62711,7551,3902,718,251,0,2092,130,93,0,1557,508,245,117
62712,4563,2084,297,105,27,1743,120,48,0,736,218,88,48
62801,7876,2476,515,198,5,3091,301,152,6,2309,1094,624,197
62803,384,109,25,13,0,136,47,25,0,139,6,6,123
62806,1385,464,72,21,0,612,76,40,0,309,127,37,14
62807,358,136,2,2,1,178,7,4,1,44,14,3,13
62808,641,208,39,23,0,302,19,9,0,131,21,13,46
62809,95,43,29,0,0,46,2,0,0,6,3,0,3
62810,467,155,22,3,0,204,28,6,0,108,17,13,15
62811,127,30,6,6,0,71,22,16,0,26,12,12,4
62812,4796,1570,332,68,3,1876,274,213,0,1350,562,330,150
62814,690,316,88,30,0,271,24,15,0,103,57,41,9
62815,135,47,4,0,0,35,8,4,0,53,4,0,16
62816,537,184,39,19,0,272,33,10,0,81,22,16,43
62817,278,44,32,4,0,187,6,4,0,47,3,2,38
62818,173,31,6,6,0,104,5,0,0,38,9,7,17
62819,127,36,6,5,0,67,5,1,0,24,11,6,3
62820,64,28,25,21,2,36,2,2,0,0,0,0,0
62821,2993,924,150,105,0,1301,274,161,0,768,287,215,186
62822,1233,280,35,0,2,602,52,29,0,351,89,62,36
62823,758,287,41,11,0,339,54,26,8,132,18,8,36
62824,654,224,52,49,6,312,53,40,8,118,25,16,52
62825,117,23,7,2,0,80,0,0,0,14,0,0,12
62827,474,165,44,31,0,179,0,0,0,130,45,7,20
62828,628,158,21,10,0,349,43,5,0,121,9,7,44
62829,48,40,0,0,0,0,0,0,0,8,0,0,8
62830,596,217,36,13,2,249,11,5,0,130,48,25,34
62831,164,70,25,2,0,83,2,0,0,11,1,1,10
62832,3703,1096,150,46,0,1583,100,48,19,1024,393,129,230
62833,115,21,0,0,0,83,17,0,0,11,0,0,0
62835,538,106,12,3,0,367,67,32,10,65,6,4,6
62836,317,100,21,19,0,176,3,0,0,41,5,5,8
62837,3716,1409,328,163,0,1366,156,87,10,941,375,217,125
62838,563,166,19,4,0,313,19,5,7,84,41,2,32
62839,2686,1129,408,94,0,1082,189,0,0,475,97,31,10
62841,50,10,0,0,0,31,4,4,0,9,0,0,1
62842,290,107,20,19,0,148,20,9,0,35,23,20,1
62843,62,7,2,2,0,18,15,15,0,37,0,0,37
62844,805,280,83,60,4,281,23,23,7,244,44,24,32
62846,308,82,16,7,0,134,18,0,0,92,24,9,22
62848,234,121,12,10,0,75,5,1,0,38,16,10,8
62849,722,307,62,32,0,341,38,14,3,74,28,7,6
62850,105,68,41,38,0,22,0,0,0,15,0,0,9
62851,104,51,4,2,0,53,9,9,0,0,0,0,0
62852,62,21,0,0,0,33,1,1,0,8,0,0,6
62853,359,118,13,5,0,180,19,10,0,61,15,6,10
62854,712,422,110,61,0,201,48,41,2,89,42,18,15
62856,136,35,2,2,0,91,9,4,0,10,0,0,3
62858,1295,445,70,42,0,495,47,17,10,355,71,49,58
62859,2192,576,88,34,0,1079,159,0,6,537,102,11,69
62860,185,83,21,18,0,81,7,3,2,21,8,8,2
62861,38,10,0,0,0,28,5,0,0,0,0,0,0
62862,129,27,7,4,0,89,8,4,0,13,2,2,1
62863,4069,1313,356,169,0,1654,122,45,11,1102,338,263,190
62864,9725,3169,522,244,9,3246,341,189,30,3310,1194,580,318
62865,968,225,130,21,0,625,35,35,0,118,18,0,27
62867,197,54,2,0,8,89,17,9,0,54,14,6,14
62868,663,268,72,3,0,297,82,38,0,98,27,17,36
62869,1050,333,49,7,0,498,74,32,0,219,54,0,73
62870,899,407,105,5,0,288,33,14,2,204,49,30,23
62871,259,69,0,0,0,159,26,26,0,31,16,10,4
62872,401,185,78,38,0,184,42,15,0,32,15,15,15
62874,193,51,14,12,0,99,9,8,2,43,10,8,28
62875,424,194,59,18,4,180,11,8,2,50,16,11,7
62876,71,20,3,0,0,42,12,6,0,9,2,2,1
62877,186,70,17,9,0,98,17,1,0,18,3,1,9
62878,115,39,0,0,0,68,10,0,0,8,0,0,8
62879,9,0,0,0,0,9,0,0,0,0,0,0,0
62880,292,73,34,1,0,178,14,3,0,41,2,0,29
62881,4671,1879,402,199,0,1478,113,64,35,1314,374,139,161
62882,857,308,77,65,15,343,30,5,2,206,70,20,55
62883,219,99,19,4,0,104,7,7,0,16,0,0,16
62884,1045,339,39,4,0,512,21,12,0,194,79,69,0
62885,227,54,5,5,0,142,18,12,5,31,11,11,16
62886,168,24,12,0,0,126,12,7,0,18,0,0,4
62887,64,8,4,4,0,45,26,2,1,11,2,1,8
62888,772,334,63,24,0,351,26,2,0,87,20,8,16
62889,416,190,45,20,0,143,41,19,1,83,5,0,76
62890,926,221,37,19,0,507,66,20,22,198,53,37,77
62891,297,95,33,31,0,166,15,8,0,36,10,10,24
62892,95,27,5,1,0,59,7,4,13,9,2,2,1
62893,372,147,33,6,0,150,9,9,2,75,14,5,24
62894,355,125,15,7,0,185,28,23,0,45,8,0,8
62895,912,301,48,22,0,440,72,43,8,171,23,14,20
62896,4604,1531,415,204,31,1795,301,259,30,1278,517,214,187
62897,204,56,4,2,3,102,28,0,0,46,31,16,7
62898,779,324,43,14,0,354,42,27,0,101,9,9,23
62899,620,268,56,15,2,255,24,0,0,97,13,7,26
