GEO_ID,ZCTA%5,NAME,Total,B25140_001M,Total Owned Units with a Mortgage,B25140_002M,Total Owned Units with a Mortgage (30-49%),B25140_003M,Total Owned Units with a Mortgage (50%+),B25140_004M,Total Owned Units with a Mortgage (Not Calculated),B25140_005M,Total Owned Units without a Mortgage,B25140_006M,Total Owned Units without a Mortgage (30-49%),B25140_007M,Total Owned Units without a Mortgage (50%+),B25140_008M,Total Owned Units without a Mortgage (Not Calculated),B25140_009M,Total Rented,B25140_010M,Total Rented (30-49%),B25140_011M,Total Rented (50%+),B25140_012M,Total Rented (Not Calculated),B25140_013M
860Z200US60145,60145,ZCTA5 60145,860,171,551,138,172,93,36,19,0,12,184,54,16,12,9,8,0,12,125,55,34,26,19,17,34,31
860Z200US60146,60146,ZCTA5 60146,904,135,447,91,99,40,38,22,0,12,229,63,46,28,13,13,0,12,228,124,107,108,105,108,14,16
860Z200US60148,60148,ZCTA5 60148,20442,635,9625,522,2396,334,877,230,23,26,4993,387,657,162,240,109,59,60,5824,437,2659,393,1321,290,406,148
860Z200US60150,60150,ZCTA5 60150,687,81,359,73,78,28,7,8,0,12,123,52,12,11,4,9,3,4,205,56,65,44,44,44,9,10
860Z200US60151,60151,ZCTA5 60151,1566,159,915,154,163,45,19,10,0,12,385,92,40,31,21,23,0,12,266,78,95,50,42,31,14,20
860Z200US60152,60152,ZCTA5 60152,4487,345,2208,326,545,235,264,142,0,19,1348,256,328,175,65,66,52,79,931,260,420,234,197,103,93,80
860Z200US60153,60153,ZCTA5 60153,7333,433,3013,367,1099,200,601,174,6,11,1421,252,249,100,190,90,15,18,2899,366,1392,325,793,261,317,158
860Z200US60154,60154,ZCTA5 60154,7084,260,4130,304,1008,253,337,146,0,19,2343,359,299,173,189,151,16,21,611,197,157,105,81,82,59,40
860Z200US60155,60155,ZCTA5 60155,3123,318,1272,241,317,154,127,103,0,17,721,299,261,145,193,124,30,33,1130,316,410,231,230,162,27,46
860Z200US60156,60156,ZCTA5 60156,9898,241,6491,379,1249,204,467,128,5,9,1873,268,175,64,54,39,23,26,1534,252,772,194,330,162,33,35
860Z200US60157,60157,ZCTA5 60157,920,155,432,111,117,70,85,57,0,12,470,135,87,85,26,31,0,12,18,20,0,12,0,12,10,15
860Z200US60160,60160,ZCTA5 60160,8321,582,2559,296,864,279,354,213,0,23,2209,319,381,136,222,104,58,59,3553,535,1147,250,475,158,182,138
860Z200US60162,60162,ZCTA5 60162,3050,285,1321,231,512,171,161,96,0,17,788,185,67,61,48,55,13,21,941,268,435,245,347,222,44,46
860Z200US60163,60163,ZCTA5 60163,1980,267,1241,214,316,135,26,28,0,17,419,175,226,148,102,64,0,17,320,248,219,260,0,17,0,17
860Z200US60164,60164,ZCTA5 60164,7186,351,3341,282,1204,244,409,158,36,52,2046,280,207,86,97,64,0,23,1799,341,794,251,446,147,162,113
860Z200US60165,60165,ZCTA5 60165,1203,126,352,121,100,79,39,45,0,12,304,112,102,84,35,41,12,19,547,142,209,117,116,85,52,59
860Z200US60169,60169,ZCTA5 60169,12353,562,5265,418,1340,238,453,163,9,13,2865,396,534,248,397,236,42,49,4223,559,1564,384,804,281,132,104
860Z200US60171,60171,ZCTA5 60171,4106,359,1445,295,525,179,272,129,11,16,1003,264,209,143,109,99,20,33,1658,267,543,207,228,136,191,184
860Z200US60172,60172,ZCTA5 60172,9126,394,5045,355,1160,273,504,158,43,48,2259,306,310,114,175,99,25,29,1822,284,606,168,310,127,89,68
860Z200US60173,60173,ZCTA5 60173,6576,455,1389,302,279,132,111,78,0,19,711,181,204,106,98,85,0,19,4476,392,1301,295,551,237,71,53
860Z200US60174,60174,ZCTA5 60174,12524,524,5545,461,1048,220,455,172,12,19,2959,340,308,132,135,59,41,36,4020,466,2005,426,943,258,123,65
860Z200US60175,60175,ZCTA5 60175,8862,497,6136,497,1501,363,495,174,12,21,2348,388,402,164,213,123,0,23,378,102,113,63,105,67,40,48
860Z200US60176,60176,ZCTA5 60176,4240,374,1328,328,497,223,207,109,0,19,937,257,189,126,74,85,0,19,1975,359,1077,326,511,225,62,62
860Z200US60177,60177,ZCTA5 60177,8533,409,5319,475,1190,266,381,147,10,18,1614,320,130,80,80,71,10,18,1600,316,818,285,515,232,14,23
860Z200US60178,60178,ZCTA5 60178,8699,477,4718,385,1175,330,405,256,23,31,1589,256,117,91,28,27,24,28,2392,403,686,167,410,150,13,16
860Z200US60180,60180,ZCTA5 60180,729,141,334,140,95,70,59,53,0,12,274,133,23,20,9,16,0,12,121,123,0,12,0,12,18,23
860Z200US60181,60181,ZCTA5 60181,11460,465,5396,455,1602,248,597,179,23,37,2556,301,252,89,98,47,39,31,3508,400,1144,225,436,124,264,162
860Z200US60183,60183,ZCTA5 60183,5,8,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,8,0,12,0,12,0,12
860Z200US60184,60184,ZCTA5 60184,895,178,630,174,252,127,63,39,0,12,218,57,36,25,29,24,0,12,47,34,15,18,4,6,5,7
860Z200US60185,60185,ZCTA5 60185,10611,380,5580,350,1537,315,550,175,14,21,2798,304,405,127,163,72,63,58,2233,331,1177,318,703,271,135,89
